profil,station,month,coef
P019,31069001,12,0.277126845153113
P019,33281001,1,0.24879192978123
P019,33281001,2,0.18932112097677
P019,33281001,3,0.141645051567621
P019,33281001,4,0.0478150215104458
P019,33281001,5,0.00609401681420712
P019,33281001,6,0.00395545761734893
P019,33281001,7,0.00350621661992204
P019,33281001,8,0.00265355983128355
P019,33281001,9,0.00218253243911843
P019,33281001,10,0.0243944439782537
P019,33281001,11,0.109103085887871
P019,33281001,12,0.157955897058096
P019,35228001,1,0.259787268037801
P019,35228001,2,0.198979196844193
P019,35228001,3,0.145486071538579
P019,35228001,4,0.060464868041312
P019,35228001,5,0.0114353416217685
P019,35228001,6,0.00224450210230481
P019,35228001,7,0.00541840257627557
P019,35228001,8,0.00213583586898879
P019,35228001,9,0.00255568223067615
P019,35228001,10,0.0310516543017083
P019,35228001,11,0.0958029592158979
P019,35228001,12,0.207891090332206
P019,37179001,1,0.24879192978123
P019,37179001,2,0.18932112097677
P019,37179001,3,0.141645051567621
P019,37179001,4,0.0478150215104458
P019,37179001,5,0.00609401681420712
P019,37179001,6,0.00395545761734893
P019,37179001,7,0.00350621661992204
P019,37179001,8,0.00265355983128355
P019,37179001,9,0.00218253243911843
P019,37179001,10,0.0243944439782537
P019,37179001,11,0.109103085887871
P019,37179001,12,0.157955897058096
P019,38384001,1,0.24879192978123
P019,38384001,2,0.18932112097677
P019,38384001,3,0.141645051567621
P019,38384001,4,0.0478150215104458
P019,38384001,5,0.00609401681420712
P019,38384001,6,0.00395545761734893
P019,38384001,7,0.00350621661992204
P019,38384001,8,0.00265355983128355
P019,38384001,9,0.00218253243911843
P019,38384001,10,0.0243944439782537
P019,38384001,11,0.109103085887871
P019,38384001,12,0.157955897058096
P019,42005001,1,0.222903092978798
P019,42005001,2,0.177619198940075
P019,42005001,3,0.141477242783124
P019,42005001,4,0.0561346788808619
P019,42005001,5,0.00865129842522958
P019,42005001,6,0.00144090420322808
P019,42005001,7,0.00148893434333568
P019,42005001,8,0.00148893434333568
P019,42005001,9,0.00218235326511074
P019,42005001,10,0.0408266012559095
P019,42005001,11,0.13188756402294
P019,42005001,12,0.213899196558052
P019,44020001,1,0.238588955993561
P019,44020001,2,0.20166951801476
P019,44020001,3,0.136322240167862
P019,44020001,4,0.0388959078002466
P019,44020001,5,0.00740821978773107
P019,44020001,6,0.0133804378254861
P019,44020001,7,0.0163183577055398
P019,44020001,8,0.00880025228503011
P019,44020001,9,0.00820964351156209
P019,44020001,10,0.0364254563840032
P019,44020001,11,0.0858144877562233
P019,44020001,12,0.129896006476214
P019,47091001,1,0.225092324639342
P019,47091001,2,0.164168397598446
P019,47091001,3,0.12134006046391
P019,47091001,4,0.0463694374562097
P019,47091001,5,0.00396771590052415
P019,47091001,6,0.00189115349828435
P019,47091001,7,0.00154854002917525
P019,47091001,8,0.00137615394362709
P019,47091001,9,9.35421766335146e-4
P019,47091001,10,0.0193389118553112
P019,47091001,11,0.127141513262528
P019,47091001,12,0.108337848252362
P019,51449002,1,0.321275330425935
P019,51449002,2,0.244097183144309
P019,51449002,3,0.190474802232762
P019,51449002,4,0.0663345485433394
P019,51449002,5,0.0125696541477755
P019,51449002,6,0.00240482410484205
P019,51449002,7,0.00410872391507119
P019,51449002,8,0.00122561839474606
P019,51449002,9,0.00379556969232782
