profil,dtmth,ajust_climat_F,ajust_climat_T
P014,2028-05-01,0,0
P014,2028-06-01,0,0
P014,2028-07-01,0,0
P014,2028-08-01,0,0
P014,2028-09-01,0,0
P014,2028-10-01,0,0
P014,2028-11-01,0,0
P014,2028-12-01,0,0
P014,2029-01-01,0,0
P014,2029-02-01,0,0
P014,2029-03-01,0,0
P015,2016-04-01,-0.04444163,-0.06101185
P015,2016-05-01,-0.04444163,-0.06101185
P015,2016-06-01,-0.04444163,-0.06101185
P015,2016-07-01,-0.04444163,-0.06101185
P015,2016-08-01,-0.04444163,-0.06101185
P015,2016-09-01,-0.04444163,-0.06101185
P015,2016-10-01,-0.04444163,-0.06101185
P015,2016-11-01,-0.04444163,-0.06101185
P015,2016-12-01,-0.04444163,-0.06101185
P015,2017-01-01,-0.04444163,-0.06101185
P015,2017-02-01,-0.04444163,-0.06101185
P015,2017-03-01,-0.04444163,-0.06101185
P015,2017-04-01,-0.04180186,-0.05010248
P015,2017-05-01,-0.04180185,-0.04796143
P015,2017-06-01,-0.04180184,-0.04796142
P015,2017-07-01,0,0
P015,2017-08-01,0,0
P015,2017-09-01,-0.03392533,-0.04920157
P015,2017-10-01,-0.03392534,-0.04920158
P015,2017-11-01,-0.04457967,-0.05048908
P015,2017-12-01,-0.05010085,-0.06810714
P015,2018-01-01,-0.05010085,-0.06810714
P015,2018-02-01,-0.05010085,-0.06810714
P015,2018-03-01,-0.05010084,-0.06366186
P015,2018-04-01,-0.04302,-0.057065
P015,2018-05-01,-0.04032,-0.040965
P015,2018-06-01,-0.02752,-0.038265
P015,2018-07-01,0,0
P015,2018-08-01,0,0
P015,2018-09-01,-0.02752,-0.038265
P015,2018-10-01,-0.03042,-0.049965
P015,2018-11-01,-0.04302,-0.057065
P015,2018-12-01,-0.04302,-0.057065
P015,2019-01-01,-0.04302,-0.057065
P015,2019-02-01,-0.04302,-0.057065
P015,2019-03-01,-0.04302,-0.057065
P015,2019-04-01,-0.04302,-0.057065
P015,2019-05-01,-0.04032,-0.040965
P015,2019-06-01,-0.02752,-0.038265
P015,2019-07-01,0,0
P015,2019-08-01,0,0
P015,2019-09-01,-0.02752,-0.038265
P015,2019-10-01,-0.03042,-0.049965
P015,2019-11-01,-0.04302,-0.057065
P015,2019-12-01,-0.04302,-0.057065
P015,2020-01-01,-0.04302,-0.057065
P015,2020-02-01,-0.04302,-0.057065
P015,2020-03-01,-0.04302,-0.057065
P015,2020-04-01,-0.04302,-0.057065
P015,2020-05-01,-0.04032,-0.040965
P015,2020-06-01,-0.02752,-0.038265
P015,2020-07-01,0,0
P015,2020-08-01,0,0
P015,2020-09-01,-0.02752,-0.038265
P015,2020-10-01,-0.03042,-0.049965
P015,2020-11-01,-0.04302,-0.057065
P015,2020-12-01,-0.04302,-0.057065
P015,2021-01-01,-0.04302,-0.057065
P015,2021-02-01,-0.04302,-0.057065
P015,2021-03-01,-0.04302,-0.057065
P015,2021-04-01,-0.04302,-0.057065
P015,2021-05-01,-0.04032,-0.040965
P015,2021-06-01,-0.02752,-0.038265
P015,2021-07-01,0,0
P015,2021-08-01,0,0
P015,2021-09-01,-0.02752,-0.038265
P015,2021-10-01,-0.03042,-0.049965
P015,2021-11-01,-0.04302,-0.057065
P015,2021-12-01,-0.04302,-0.057065
P015,2022-01-01,-0.04302,-0.057065
P015,2022-02-01,-0.04302,-0.057065
P015,2022-03-01,-0.04302,-0.057065
P015,2022-04-01,-0.04302,-0.057065
P015,2022-05-01,-0.04032,-0.040965
P015,2022-06-01,-0.02752,-0.038265
P015,2022-07-01,0,0
P015,2022-08-01,0,0
P015,2022-09-01,-0.02752,-0.038265
P015,2022-10-01,-0.03042,-0.049965
P015,2022-11-01,-0.04302,-0.057065
P015,2022-12-01,-0.04302,-0.057065
P015,2023-01-01,-0.04302,-0.057065
P015,2023-02-01,-0.04302,-0.057065
P015,2023-03-01,-0.04302,-0.057065
P015,2023-04-01,-0.04302,-0.057065
P015,2023-05-01,-0.04032,-0.040965
P015,2023-06-01,-0.02752,-0.038265
P015,2023-07-01,0,0
P015,2023-08-01,0,0
P015,2023-09-01,-0.02752,-0.038265
P015,2023-10-01,-0.03042,-0.049965
P015,2023-11-01,-0.04302,-0.057065
P015,2023-12-01,-0.04302,-0.057065
P015,2024-01-01,-0.04302,-0.057065
P015,2024-02-01,-0.04302,-0.057065
